Make,Model,Vehicle Model,Year,Mileage,Engine_Size,Fuel_Type,Transmission,Price
TOYOTA,COROLLA FIELDER HYBRID,TOYOTA COROLLA FIELDER HYBRID,2019,"191,000km","1,500cc",HYBRID(PETROL),AT,"5,850"
TOYOTA,COROLLA FIELDER HYBRID,TOYOTA COROLLA FIELDER HYBRID,2019,"153,000km","1,500cc",HYBRID(PETROL),AT,"6,200"
TOYOTA,COROLLA FIELDER HYBRID,TOYOTA COROLLA FIELDER HYBRID,2019,"120,000km","1,500cc",HYBRID(PETROL),AT,"6,500"
TOYOTA,AQUA L,TOYOTA AQUA L,2021,"148,000km","1,500cc",HYBRID(PETROL),AT,"4,100"
TOYOTA,CROWN ROYAL SALOON ANNIVERSARY EDITION,TOYOTA CROWN ROYAL SALOON ANNIVERSARY EDITION,2009,"84,000km","2,500cc",PETROL,AT,"2,680"
HONDA,FIT G SMART SELECTION,HONDA FIT G SMART SELECTION,2011,"112,000km","1,300cc",PETROL,AT,"1,750"
SUZUKI,JIMNY XC,SUZUKI JIMNY XC,2002,"157,000km",660cc,PETROL,AT,"1,600"
HONDA,VEZEL HYBRID X HONDA SENSING,HONDA VEZEL HYBRID X HONDA SENSING,2018,"141,000km","1,500cc",HYBRID(PETROL),AT,"8,100"
MAZDA,CX3 XD TOURING,MAZDA CX3 XD TOURING,2015,"135,000km","1,500cc",DIESEL,AT,"3,450"
LAND,ROVER RANGE ROVER EVOQUE PRESTIGE,LAND ROVER RANGE ROVER EVOQUE PRESTIGE,2014,"94,000km","2,000cc",PETROL,AT,"6,900"
TOYOTA,COROLLA AXIO G,TOYOTA COROLLA AXIO G,2013,"41,000km","1,490cc",PETROL,AT,"4,480"
HONDA,N VAN L HONDA SENSING,HONDA N VAN L HONDA SENSING,2020,"199,000km",660cc,PETROL,AT,"1,980"
SUZUKI,SWIFT SPORT SPORT,SUZUKI SWIFT SPORT SPORT,2012,"151,000km","1,600cc",PETROL,MT,"2,200"
TOYOTA,PORTE F,TOYOTA PORTE F,2012,"66,000km","1,500cc",PETROL,AT,"1,500"
NISSAN,NOTE X FOUR,NISSAN NOTE X FOUR,2015,"123,000km","1,200cc",PETROL,AT,"1,200"
NISSAN,NOTE X DIG-S V SELECTION + SAFETY,NISSAN NOTE X DIG-S V SELECTION + SAFETY,2015,"122,000km","1,200cc",PETROL,AT,"1,450"
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2022,"144,000km","1,500cc",PETROL,5MT,"5,800"
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2016,"274,000km","1,500cc",PETROL,AT,"3,000"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"104,000km","1,000cc",PETROL,AT,"4,800"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"75,000km","1,000cc",PETROL,AT,"5,100"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"100,000km","1,000cc",PETROL,AT,"4,800"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"105,000km","1,000cc",PETROL,AT,"4,800"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"118,000km","1,000cc",PETROL,AT,"4,800"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"97,000km","1,000cc",PETROL,AT,"4,900"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"101,000km","1,000cc",PETROL,AT,"4,700"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"95,000km","1,000cc",PETROL,AT,"4,700"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"91,000km","1,000cc",PETROL,AT,"5,000"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"121,000km","1,000cc",PETROL,AT,"4,600"
TOYOTA,VITZ JEWELA,TOYOTA VITZ JEWELA,2013,"105,000km","1,300cc",PETROL,AT,"2,400"
TOYOTA,SUCCEED VAN UL X,TOYOTA SUCCEED VAN UL X,2017,"160,000km","1,500cc",PETROL,AT,"4,200"
TOYOTA,REGIUSACE VAN DX GL PKG,TOYOTA REGIUSACE VAN DX GL PKG,2016,"128,000km","3,000cc",DIESEL,AT,"10,200"
TOYOTA,REGIUSACE VAN SUPER GL LONG DIESEL TURBO,TOYOTA REGIUSACE VAN SUPER GL LONG DIESEL TURBO,2013,"210,000km","2,982cc",DIESEL,AT,"6,200"
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2020,"172,000km","1,300cc",PETROL,AT,"5,110"
TOYOTA,PROBOX VAN DX,TOYOTA PROBOX VAN DX,2019,"172,000km","1,300cc",PETROL,AT,"4,800"
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2017,"150,000km","1,300cc",PETROL,AT,"4,600"
NISSAN,NV200VANETTE VAN DX,NISSAN NV200VANETTE VAN DX,2017,"78,000km","1,600cc",PETROL,MT,"5,000"
TOYOTA,HIACE VAN DX GL PKG,TOYOTA HIACE VAN DX GL PKG,2020,"150,000km","2,700cc",PETROL,AT,"15,500"
TOYOTA,HIACE VAN JUST LOW DX,TOYOTA HIACE VAN JUST LOW DX,2004,"181,000km","2,000cc",PETROL,AT,"9,400"
TOYOTA,COROLLA FIELDER HYBRID EX,TOYOTA COROLLA FIELDER HYBRID EX,2020,"110,000km","1,500cc",HYBRID(PETROL),AT,"6,200"
TOYOTA,VELLFIRE 2.4X,TOYOTA VELLFIRE 2.4X,2009,"134,000km","2,400cc",PETROL,AT,"2,910"
TOYOTA,SIENTA G,TOYOTA SIENTA G,2016,"192,000km","1,500cc",HYBRID(PETROL),AT,Ask
TOYOTA,SIENTA DICE LIMITED,TOYOTA SIENTA DICE LIMITED,2012,"69,000km","1,500cc",PETROL,AT,"2,800"
MAZDA,AXELA SPORT 22XD L PKG,MAZDA AXELA SPORT 22XD L PKG,2016,"197,000km","2,200cc",DIESEL,AT,"2,500"
SUZUKI,ALTO L,SUZUKI ALTO L,2017,"84,000km",660cc,PETROL,AT,"1,500"
SUZUKI,ALTO G II,SUZUKI ALTO G II,2009,"67,000km",660cc,PETROL,AT,750
MERCEDES,A CLASS A180M,MERCEDES A CLASS A180M,2015,"46,000km","1,600cc",PETROL,AT,"5,000"
MAZDA,AXELA SPORT 20S TOURING,MAZDA AXELA SPORT 20S TOURING,2014,"113,000km","2,000cc",PETROL,AT,"2,770"
HONDA,FIT HYBRID HYBRID F PKG,HONDA FIT HYBRID HYBRID F PKG,2013,"98,000km","1,500cc",HYBRID(PETROL),AT,"2,360"
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2010,"101,000km","1,500cc",PETROL,AT,"1,230"
TOYOTA,VOXY ZS,TOYOTA VOXY ZS,2016,"188,000km","1,800cc",HYBRID(PETROL),AT,"5,940"
TOYOTA,ALPHARD G MZ G EDITION 4WD,TOYOTA ALPHARD G MZ G EDITION 4WD,2005,"90,000km","2,994cc",PETROL,AT,"2,590"
MAZDA,BIANTE I STOP SMART EDITION II,MAZDA BIANTE I STOP SMART EDITION II,2011,"113,000km","2,000cc",PETROL,AT,"1,290"
TOYOTA,NOAH S,TOYOTA NOAH S,2010,"224,000km","2,000cc",PETROL,AT,"2,910"
TOYOTA,VANGUARD 240S,TOYOTA VANGUARD 240S,2009,"154,000km","2,400cc",PETROL,AT,"6,000"
TOYOTA,NOAH X G SELECTION,TOYOTA NOAH X G SELECTION,2004,"128,000km","2,000cc",PETROL,AT,"1,810"
TOYOTA,RAV4 HYBRID G,TOYOTA RAV4 HYBRID G,2019,"90,000km","2,500cc",HYBRID(PETROL),AT,"15,800"
NISSAN,JUKE 15RX,NISSAN JUKE 15RX,2015,"240,000km","1,500cc",PETROL,AT,"2,200"
DAIHATSU,MOVE CUSTOM X SA,DAIHATSU MOVE CUSTOM X SA,2013,"202,000km",660cc,PETROL,AT,850
SUBARU,FORESTER 2.0XT EYESITE,SUBARU FORESTER 2.0XT EYESITE,2013,"117,000km","2,000cc",PETROL,AT,"4,200"
SUBARU,FORESTER 2.0XT EYESITE,SUBARU FORESTER 2.0XT EYESITE,2013,"112,000km","2,000cc",PETROL,AT,"4,200"
DAIHATSU,MIRA ES L,DAIHATSU MIRA ES L,2015,"183,000km",660cc,PETROL,AT,"1,500"
DAIHATSU,MIRA ES L,DAIHATSU MIRA ES L,2015,"124,000km",660cc,PETROL,AT,"1,550"
DAIHATSU,MIRA ES L,DAIHATSU MIRA ES L,2015,"166,000km",660cc,PETROL,AT,"1,500"
NISSAN,TIIDA 15M,NISSAN TIIDA 15M,2010,"46,000km","1,500cc",PETROL,AT,"1,200"
NISSAN,TIIDA 15S,NISSAN TIIDA 15S,2008,"20,000km","1,500cc",PETROL,AT,"1,300"
VOLKSWAGEN,POLO unknown,VOLKSWAGEN POLO unknown,2011,"64,000km","1,200cc",PETROL,AT,"1,600"
TOYOTA,PIXIS EPOCH L,TOYOTA PIXIS EPOCH L,2013,"73,000km",660cc,PETROL,AT,"1,550"
DAIHATSU,MOVE L,DAIHATSU MOVE L,2014,"159,000km",660cc,PETROL,AT,"1,000"
DAIHATSU,MOVE L,DAIHATSU MOVE L,2007,"96,000km",660cc,PETROL,AT,750
DAIHATSU,MIRA ES L SA3,DAIHATSU MIRA ES L SA3,2018,"61,000km",660cc,PETROL,AT,"2,050"
DAIHATSU,MIRA ES L SA3,DAIHATSU MIRA ES L SA3,2019,"59,000km",660cc,PETROL,AT,"2,700"
DAIHATSU,MIRA ES X SA3,DAIHATSU MIRA ES X SA3,2018,"101,000km",660cc,PETROL,AT,"2,000"
DAIHATSU,MIRA ES L,DAIHATSU MIRA ES L,2017,"149,000km",660cc,PETROL,AT,"1,650"
DAIHATSU,MIRA ES X,DAIHATSU MIRA ES X,2012,"83,000km",660cc,PETROL,AT,"1,250"
SUZUKI,SWIFT XL DJE,SUZUKI SWIFT XL DJE,2015,"147,000km","1,200cc",PETROL,AT,Ask
HONDA,FIT G F PKG,HONDA FIT G F PKG,2009,"142,000km","1,300cc",PETROL,AT,"1,700"
MAZDA,DEMIO 13S TOURING PKG,MAZDA DEMIO 13S TOURING PKG,2017,"81,000km","1,300cc",PETROL,AT,"3,560"
TOYOTA,AQUA S STYLE BLACK,TOYOTA AQUA S STYLE BLACK,2017,"84,000km","1,500cc",HYBRID(PETROL),AT,"3,800"
TOYOTA,COROLLA AXIO G,TOYOTA COROLLA AXIO G,2009,"109,000km","1,500cc",PETROL,AT,"3,080"
TOYOTA,COROLLA AXIO X,TOYOTA COROLLA AXIO X,2018,"53,000km","1,500cc",PETROL,AT,"6,390"
TOYOTA,COROLLA AXIO G,TOYOTA COROLLA AXIO G,2015,"115,000km","1,500cc",PETROL,AT,"4,280"
MITSUBISHI,CANTER TRUCK 3.25t 5STEP CRANE,MITSUBISHI CANTER TRUCK 3.25t 5STEP CRANE,1994,"28,000km","4,600cc",DIESEL,MT,"21,290"
ISUZU,ELF TRUCK 1.95t FLAT BODY,ISUZU ELF TRUCK 1.95t FLAT BODY,2005,"122,000km","4,770cc",DIESEL,SMOOTHER,"5,460"
MITSUBISHI,CANTER TRUCK 2.0t FLAT BODY,MITSUBISHI CANTER TRUCK 2.0t FLAT BODY,2018,"291,000km","2,990cc",DIESEL,DUONIC,"7,460"
ISUZU,ELF TRUCK 3.0t FLAT BODY,ISUZU ELF TRUCK 3.0t FLAT BODY,2011,"269,000km","3,000cc",DIESEL,6MT,"7,170"
HONDA,FIT G,HONDA FIT G,2010,"70,000km","1,300cc",PETROL,AT,"1,750"
TOYOTA,AQUA X,TOYOTA AQUA X,2022,"77,000km","1,500cc",HYBRID(PETROL),AT,"6,950"
TOYOTA,COROLLA RUMION 1.5G,TOYOTA COROLLA RUMION 1.5G,2010,"176,000km","1,500cc",PETROL,AT,"2,590"
TOYOTA,WISH Z,TOYOTA WISH Z,2005,"127,000km","2,000cc",PETROL,AT,"2,490"
MAZDA,PREMACY 20CS,MAZDA PREMACY 20CS,2011,"80,000km","2,000cc",PETROL,AT,"1,100"
TOYOTA,WISH Z,TOYOTA WISH Z,2008,"141,000km","2,000cc",PETROL,AT,"2,100"
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2011,"257,000km","1,500cc",PETROL,AT,"1,150"
TOYOTA,ALPHARD 2.4AS,TOYOTA ALPHARD 2.4AS,2005,"206,000km","2,400cc",PETROL,AT,"2,220"
TOYOTA,SIENTA X,TOYOTA SIENTA X,2007,"220,000km","1,500cc",PETROL,AT,"1,710"
TOYOTA,SIENTA X LTD,TOYOTA SIENTA X LTD,2009,"90,000km","1,500cc",PETROL,AT,"2,200"
TOYOTA,ISIS PLATANA LIMITED,TOYOTA ISIS PLATANA LIMITED,2008,"50,000km","2,000cc",PETROL,AT,"1,520"
HONDA,STEPWAGON SPADA S,HONDA STEPWAGON SPADA S,2012,"98,000km","2,000cc",PETROL,AT,"1,750"
HONDA,STEPWAGON SPADA SPADA S,HONDA STEPWAGON SPADA SPADA S,2010,"110,000km","2,000cc",PETROL,AT,"1,500"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"107,000km","1,000cc",PETROL,AT,"4,900"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"114,000km","1,000cc",PETROL,AT,"4,800"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"90,000km","1,000cc",PETROL,AT,"4,900"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"105,000km","1,000cc",PETROL,AT,"4,900"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"110,000km","1,000cc",PETROL,AT,"4,900"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"111,000km","1,000cc",PETROL,AT,"4,800"
TOYOTA,VITZ F SAFETY  EDITION III,TOYOTA VITZ F SAFETY  EDITION III,2020,"74,000km","1,000cc",PETROL,AT,"5,200"
TOYOTA,PORTE G,TOYOTA PORTE G,2015,"72,000km","1,500cc",PETROL,AT,"1,600"
TOYOTA,BLADE G,TOYOTA BLADE G,2007,"42,000km","2,400cc",PETROL,AT,"1,860"
DAIHATSU,MIRA MEMORIAL EDITION,DAIHATSU MIRA MEMORIAL EDITION,2008,"74,000km",660cc,PETROL,AT,"1,100"
TOYOTA,VITZ F CIEL,TOYOTA VITZ F CIEL,2013,"103,000km","1,300cc",PETROL,AT,"2,800"
DAIHATSU,MIRA X LTD,DAIHATSU MIRA X LTD,2007,"177,000km",660cc,PETROL,AT,"1,000"
HONDA,FIT HYBRID HYBRID L HONDA SENSING,HONDA FIT HYBRID HYBRID L HONDA SENSING,2017,"39,000km","1,500cc",HYBRID(PETROL),AT,"5,400"
TOYOTA,VITZ F,TOYOTA VITZ F,2013,"97,000km","1,300cc",PETROL,AT,"2,800"
TOYOTA,SUCCEED WAGON TX G PKG LTD,TOYOTA SUCCEED WAGON TX G PKG LTD,2007,"196,000km","1,500cc",PETROL,AT,"3,040"
TOYOTA,SUCCEED WAGON TX G PKG,TOYOTA SUCCEED WAGON TX G PKG,2012,"111,000km","1,500cc",PETROL,AT,"3,620"
SUZUKI,SOLIO X,SUZUKI SOLIO X,2012,"101,000km","1,240cc",PETROL,AT,850
TOYOTA,PIXIS SPACE X,TOYOTA PIXIS SPACE X,2013,"70,000km",660cc,PETROL,AT,840
TOYOTA,NOAH XL SELECTION,TOYOTA NOAH XL SELECTION,2010,"144,000km","1,980cc",PETROL,AT,"2,590"
MITSUBISHI,EK WAGON MX,MITSUBISHI EK WAGON MX,2013,"77,000km",660cc,PETROL,AT,940
MITSUBISHI,EK WAGON G,MITSUBISHI EK WAGON G,2019,"72,000km",660cc,PETROL,AT,"2,770"
MITSUBISHI,EK WAGON GS,MITSUBISHI EK WAGON GS,2013,"138,000km",660cc,PETROL,AT,940
MITSUBISHI,EK WAGON MX,MITSUBISHI EK WAGON MX,2011,"173,000km",660cc,PETROL,AT,810
TOYOTA,NOAH X V SELECTION,TOYOTA NOAH X V SELECTION,2004,"170,000km","2,000cc",PETROL,AT,"1,780"
MITSUBISHI,DELICA D2 S,MITSUBISHI DELICA D2 S,2013,"152,000km","1,200cc",PETROL,AT,950
SUZUKI,SWIFT XG,SUZUKI SWIFT XG,2022,"83,000km","1,242cc",PETROL,AT,"6,000"
SUZUKI,SWIFT RS DJE,SUZUKI SWIFT RS DJE,2015,"135,000km","1,200cc",PETROL,AT,"2,200"
SUZUKI,SWIFT XG,SUZUKI SWIFT XG,2008,"50,000km","1,200cc",PETROL,AT,"1,200"
TOYOTA,RAUM G PKG,TOYOTA RAUM G PKG,2003,"47,000km","1,500cc",PETROL,AT,"2,350"
NISSAN,XTRAIL 20S EMERGENCY BRAKE PKG,NISSAN XTRAIL 20S EMERGENCY BRAKE PKG,2017,"149,000km","2,000cc",PETROL,AT,"5,670"
TOYOTA,VANGUARD 240S,TOYOTA VANGUARD 240S,2013,"73,000km","2,400cc",PETROL,AT,"6,500"
MITSUBISHI,RVR E,MITSUBISHI RVR E,2010,"44,000km","1,800cc",PETROL,AT,"3,600"
TOYOTA,RACTIS,TOYOTA RACTIS,2007,"132,000km","1,500cc",PETROL,AT,"2,050"
TOYOTA,PASSO G,TOYOTA PASSO G,2013,"83,000km","1,300cc",PETROL,AT,"1,550"
NISSAN,XTRAIL 20X HYBRID EMERGENCY BRAKE PKG,NISSAN XTRAIL 20X HYBRID EMERGENCY BRAKE PKG,2017,"85,000km","2,000cc",HYBRID(PETROL),AT,"5,720"
NISSAN,XTRAIL 20XTT,NISSAN XTRAIL 20XTT,2010,"104,000km","2,000cc",PETROL,AT,"2,330"
MAZDA,DEMIO 13S,MAZDA DEMIO 13S,2015,"151,000km","1,300cc",PETROL,AT,"2,550"
MAZDA,DEMIO 13S,MAZDA DEMIO 13S,2015,"184,000km","1,300cc",PETROL,AT,"2,550"
NISSAN,TIIDA 15S,NISSAN TIIDA 15S,2007,"37,000km","1,500cc",PETROL,AT,"1,200"
NISSAN,MARCH X,NISSAN MARCH X,2016,"76,000km","1,200cc",PETROL,AT,"1,930"
HONDA,SHUTTLE HYBRID HONDA SENSING,HONDA SHUTTLE HYBRID HONDA SENSING,2020,"118,000km","1,500cc",HYBRID(PETROL),AT,"5,290"
TOYOTA,MARK X 250G RELAX SELECTION,TOYOTA MARK X 250G RELAX SELECTION,2010,"107,000km","2,500cc",PETROL,AT,"3,130"
TOYOTA,CROWN ATHLETE,TOYOTA CROWN ATHLETE,2008,"186,000km","3,500cc",PETROL,AT,"2,980"
HONDA,FIT G,HONDA FIT G,2011,"208,000km","1,300cc",PETROL,AT,"1,760"
LEXUS,IS IS250C VERSION L,LEXUS IS IS250C VERSION L,2009,"162,000km","2,500cc",PETROL,AT,"3,480"
TOYOTA,CROWN ROYAL SALOON NAVI PKG,TOYOTA CROWN ROYAL SALOON NAVI PKG,2008,"202,000km","2,490cc",PETROL,AT,"2,280"
MAZDA,DEMIO CASUAL FRIEND PKG,MAZDA DEMIO CASUAL FRIEND PKG,2003,"52,000km","1,300cc",PETROL,AT,"1,000"
MAZDA,DEMIO XD TOURING,MAZDA DEMIO XD TOURING,2015,"181,000km","1,500cc",DIESEL,AT,"2,000"
MAZDA,DEMIO XD TOURING,MAZDA DEMIO XD TOURING,2015,"101,000km","1,500cc",DIESEL,AT,"2,050"
MAZDA,DEMIO XD,MAZDA DEMIO XD,2014,"128,000km","1,500cc",DIESEL,AT,"2,000"
MAZDA,DEMIO 13S TOURING,MAZDA DEMIO 13S TOURING,2018,"207,000km","1,300cc",PETROL,AT,"3,550"
TOYOTA,COROLLA AXIO HYBRID,TOYOTA COROLLA AXIO HYBRID,2019,"119,000km","1,500cc",HYBRID(PETROL),AT,"6,080"
MAZDA,DEMIO 13S TOURING,MAZDA DEMIO 13S TOURING,2016,"53,000km","1,300cc",PETROL,AT,"2,900"
MAZDA,DEMIO 13 SKYACTIV,MAZDA DEMIO 13 SKYACTIV,2013,"155,000km","1,300cc",PETROL,AT,"1,500"
TOYOTA,CROWN ATHLETE ANNIVERSARY EDITION,TOYOTA CROWN ATHLETE ANNIVERSARY EDITION,2009,"167,000km","2,500cc",PETROL,AT,"3,380"
MAZDA,DEMIO 13C SMART EDITION,MAZDA DEMIO 13C SMART EDITION,2011,"142,000km","1,300cc",PETROL,AT,"1,250"
TOYOTA,COROLLA RUNX X G EDITION,TOYOTA COROLLA RUNX X G EDITION,2002,"116,000km","1,500cc",PETROL,AT,"3,050"
NISSAN,NOTE X,NISSAN NOTE X,2020,"71,000km","1,200cc",PETROL,AT,"4,000"
NISSAN,NOTE MEDALIST X,NISSAN NOTE MEDALIST X,2016,"174,000km","1,200cc",PETROL,AT,"2,430"
HONDA,FIT HYBRID HYBRID F PACKAGE,HONDA FIT HYBRID HYBRID F PACKAGE,2017,"42,000km","1,500cc",HYBRID(PETROL),AT,"4,800"
HONDA,FIT HYBRID HYBRID L PACKAGE,HONDA FIT HYBRID HYBRID L PACKAGE,2014,"69,000km","1,500cc",HYBRID(PETROL),AT,"2,700"
SUZUKI,SWIFT SPORT SPORT,SUZUKI SWIFT SPORT SPORT,2015,"121,000km","1,600cc",PETROL,MT,"2,700"
TOYOTA,PORTE X,TOYOTA PORTE X,2015,"137,000km","1,500cc",PETROL,AT,"1,500"
TOYOTA,PORTE X,TOYOTA PORTE X,2013,"176,000km","1,300cc",PETROL,AT,"1,200"
SUZUKI,ALTO L,SUZUKI ALTO L,2019,"83,000km",660cc,PETROL,AT,"2,500"
NISSAN,CUBE 15X,NISSAN CUBE 15X,2016,"105,000km","1,500cc",PETROL,AT,"2,430"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"102,000km","1,000cc",PETROL,AT,"5,000"
TOYOTA,VITZ F,TOYOTA VITZ F,2019,"195,000km","1,300cc",PETROL,AT,"5,900"
TOYOTA,VITZ F CIEL,TOYOTA VITZ F CIEL,2013,"105,000km","1,300cc",PETROL,AT,"2,700"
TOYOTA,VITZ F,TOYOTA VITZ F,2019,"171,000km","1,300cc",PETROL,AT,"5,900"
TOYOTA,VITZ F LIMITED  II,TOYOTA VITZ F LIMITED  II,2010,"103,000km","1,000cc",PETROL,AT,"1,500"
TOYOTA,VITZ F,TOYOTA VITZ F,2019,"73,000km","1,300cc",PETROL,AT,"6,620"
VOLVO,S60 T4 R DESIGN,VOLVO S60 T4 R DESIGN,2013,"117,000km","1,600cc",PETROL,AT,"1,580"
TOYOTA,TOWNACE VAN GL,TOYOTA TOWNACE VAN GL,2021,"134,000km","1,500cc",PETROL,AT,"5,850"
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2021,"150,000km","1,500cc",PETROL,AT,"5,500"
TOYOTA,TOWNACE VAN GL,TOYOTA TOWNACE VAN GL,2021,"183,000km","1,500cc",PETROL,AT,"5,310"
